run_id,label,time_h,R_tau_root_Rsun,Teff_theory_K,nuLnu_g_theory_erg_s,nuLnu_g_snec_erg_s,ratio_theory_to_snec
wn3_sce_bare_e1_ni001,Bare WN3,6.00016538e+00,8.27683155e+02,1.08086609e+04,1.96538710e+40,2.47563829e+40,7.93891057e-01
wn3_sce_bare_e1_ni001,Bare WN3,1.20001194e+01,1.26489699e+03,8.22880772e+03,1.84168746e+40,2.45923542e+40,7.48886199e-01
wn3_sce_bare_e1_ni001,Bare WN3,1.80001814e+01,1.62118428e+03,7.01520410e+03,1.58398617e+40,2.01713913e+40,7.85263713e-01
wn3_sce_bare_e1_ni001,Bare WN3,2.40002195e+01,1.95248392e+03,6.23348138e+03,1.33150588e+40,1.52713654e+40,8.71897071e-01
wn3_sce_bare_e1_ni001,Bare WN3,3.00002151e+01,2.26548361e+03,5.67498066e+03,1.10950450e+40,1.08017460e+40,1.02715293e+00
wn3_sce_bare_e1_ni001,Bare WN3,3.60001534e+01,2.54207121e+03,5.27257473e+03,9.29172797e+39,7.19080421e+39,1.29216812e+00
wn3_sce_bare_e1_ni001,Bare WN3,4.20001422e+01,2.78247461e+03,4.97213811e+03,7.86815723e+39,5.42323244e+39,1.45082427e+00
wn3_sce_bare_e1_ni001,Bare WN3,4.80000000e+01,2.99187710e+03,4.73928414e+03,6.74597622e+39,4.18919275e+39,1.61032844e+00
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",6.00021575e+00,9.86476490e+02,1.73036105e+04,9.06258178e+40,1.34693373e+41,6.72830562e-01
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",1.20001404e+01,1.75712712e+03,1.22022328e+04,1.24930842e+41,1.90228553e+41,6.56740746e-01
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",1.80002069e+01,2.12722257e+03,1.07035158e+04,1.26084260e+41,1.55869096e+41,8.08911220e-01
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",2.40001426e+01,1.90170570e+03,1.10389899e+04,1.10414348e+41,5.67278137e+40,1.94638821e+00
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",3.00001251e+01,2.09510366e+03,1.03137993e+04,1.09238840e+41,3.49834213e+40,3.12258880e+00
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",3.60001445e+01,2.43293298e+03,9.41950339e+03,1.10048507e+41,2.13255555e+40,5.16040518e+00
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",4.20001641e+01,2.74947720e+03,8.74198744e+03,1.08618206e+41,1.08611793e+40,1.00005905e+01
wn3_sce_mass_m0p01_r5_e1_ni001,"$+0.01\,M_\odot$ to $5\,R_\odot$",4.80000000e+01,3.01382183e+03,8.25281871e+03,1.05705993e+41,6.34058988e+39,1.66713185e+01
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",6.00016224e+00,9.73209803e+02,3.09772603e+04,2.52574439e+41,3.44802445e+41,7.32519279e-01
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",1.20002069e+01,1.75148677e+03,2.17321684e+04,4.48194145e+41,5.59047991e+41,8.01709606e-01
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",1.80002083e+01,2.41097978e+03,1.78773004e+04,5.79578522e+41,6.29206240e+41,9.21126469e-01
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",2.40001791e+01,2.93721890e+03,1.57942345e+04,6.58614913e+41,5.14571334e+41,1.27992927e+00
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",3.00001420e+01,2.65349152e+03,1.62959005e+04,5.76164851e+41,2.30507637e+41,2.49954777e+00
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",3.60001797e+01,2.49634142e+03,1.65351011e+04,5.26454171e+41,1.09065226e+41,4.82696630e+00
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",4.20001230e+01,2.83795166e+03,1.53002520e+04,5.72103968e+41,6.05607589e+40,9.44677674e+00
wn3_sce_radius_m0p01_r50_e1_ni001,"$+0.01\,M_\odot$ to $50\,R_\odot$",4.80000000e+01,3.14605425e+03,1.43629548e+04,6.06280235e+41,3.75239495e+40,1.61571541e+01
