run_id,label,group,profile,energy_foe,ni_mass_msun,max_time_hours,peak_time_hours_0_48h,peak_luminosity_Lsun_0_48h,luminosity_0p25h_Lsun,teff_0p25h_K,rphoto_0p25h_Rsun,luminosity_0p5h_Lsun,teff_0p5h_K,rphoto_0p5h_Rsun,luminosity_1p0h_Lsun,teff_1p0h_K,rphoto_1p0h_Rsun,luminosity_3p0h_Lsun,teff_3p0h_K,rphoto_3p0h_Rsun,luminosity_6p0h_Lsun,teff_6p0h_K,rphoto_6p0h_Rsun,luminosity_12p0h_Lsun,teff_12p0h_K,rphoto_12p0h_Rsun,luminosity_24p0h_Lsun,teff_24p0h_K,rphoto_24p0h_Rsun,luminosity_48p0h_Lsun,teff_48p0h_K,rphoto_48p0h_Rsun
wn3_sce_bare_e0p5_ni050,"Bare Avishai WN3, 0.5 foe",bare,avishai_wn3,0.5,0.05,48.0,0.016673682497499998,28324589.742371183,4688976.869532419,41039.774970564686,43.7742881977187,7566329.713620435,32331.0232951981,89.59660159339748,7579049.103365039,22783.37969881734,180.57550496164512,8781122.615566121,14511.156301140349,479.13578488261686,7948092.22060206,11596.622868839922,713.7661937562885,6166671.418409491,8801.328380436105,1091.481338491111,3839942.60913339,6266.490144013122,1699.0195033050381,1261586.7969484741,3853.3289325,2575.219820899813
wn3_sce_bare_e1_ni050,"Bare Avishai WN3, 1 foe",bare,avishai_wn3,1.0,0.05,48.0,0.016677632352777777,28907523.786893446,6429609.953158485,40341.887519556294,53.049716288610604,12038569.495053621,33056.59599577973,108.10951397581988,11286375.282598972,22960.967071250794,216.96274144227303,12835501.177633716,14889.123530055484,550.2446295372068,11533017.51581975,11815.61956019985,828.2206934089295,9198081.915278899,9033.568300756342,1265.3694252286903,5946247.347731199,6517.994370675984,1954.2413249503543,2360918.1203351677,4179.481516,2994.586348569786
wn3_sce_bare_e2_ni050,"Bare Avishai WN3, 2 foe",bare,avishai_wn3,2.0,0.05,48.0,0.016679697943888887,38624928.86193097,10406614.445705792,40240.14236973426,67.83120711932914,20807082.223659977,33612.135715230375,137.46829975244958,18667716.34093587,23180.105167614773,273.7811148049689,20612954.80945769,15404.25129790247,651.4433024348974,18564242.635996714,12087.810551468037,1003.9938478954269,15195569.416540097,9311.251807057972,1530.839876888754,10164015.10789786,6809.05327784333,2341.2292190870644,4610281.744622311,4497.2814513,3614.2116347563606
wn3_sce_mass_m0p01_r5_e0p5_ni050,"WN3 + 0.01 Msol to 5 Rsun, 0.5 foe",mass_m0p01_r5,avishai_wn3_ext_m0p01_r5,0.5,0.05,48.0,0.08336461610555555,510050562.9814908,159290213.41745085,117195.8420223227,31.28677362253074,96723651.92505613,69247.54962283272,69.83065289079755,96767802.28304763,47703.410965354895,147.18185273952068,125387955.61238188,29070.281996984235,451.145932914316,119541722.17237115,21037.660088737866,841.1094292310576,87466744.3137342,14523.882481828407,1509.5365691916297,23483378.78615372,9413.755409954318,1861.8380536905902,2447487.0646573287,4540.1875721,2583.905221647262
wn3_sce_mass_m0p01_r5_e1_ni050,"WN3 + 0.01 Msol to 5 Rsun, 1 foe",mass_m0p01_r5,avishai_wn3_ext_m0p01_r5,1.0,0.05,48.0,0.06669332055277778,1115754619.6848423,228405699.89985725,115141.1914689929,38.815447768824114,125137799.07315399,66915.27629092972,85.06281320529331,155388894.34726834,48880.51902558011,177.63411770729405,184956935.81217822,29397.693347949986,535.7923084741724,165419135.9194813,21062.757684639706,987.0747552073366,116788482.33424687,14465.707855287854,1758.3618006789723,21268776.777887393,9080.991886304275,1904.1094752579652,3571318.517258629,4619.0704283,3015.5538007761966
wn3_sce_mass_m0p01_r5_e2_ni050,"WN3 + 0.01 Msol to 5 Rsun, 2 foe",mass_m0p01_r5,avishai_wn3_ext_m0p01_r5,2.0,0.05,48.0,0.05001413890833334,6863036911.455728,364175815.8540179,113032.79395887135,50.85579262293459,180674816.75437754,64696.94062939841,109.33798044258438,269691698.03179294,49746.25553745638,225.94438592655578,295836240.3821452,29700.047282833333,663.8948646523916,249728533.45960698,21082.832640629942,1210.497980258904,165822837.84331644,14356.856689598651,2127.1155865701535,26932073.681248162,9004.5877794033,2179.1857056908043,5900639.068784392,4739.372767,3681.8755945091275
wn3_sce_radius_m0p01_r50_e0p5_ni050,"WN3 + 0.01 Msol to 50 Rsun, 0.5 foe",radius_m0p01_r50,avishai_wn3_ext_m0p01_r50,0.5,0.05,48.0,0.6500380102500001,365617254177.08856,0.6864935131343697,752.1753286340572,49.860790962190976,2.6896231327009317,1058.2524759866787,49.8600689089773,2352935948.3922853,130028.58825184168,97.68220406064292,1249134834.4106464,55024.90291941128,397.44196646949035,1173750279.399807,37666.58510502435,822.1725504636936,724506559.2974454,24739.52856981982,1497.3589889254008,286292609.61829,14901.862003495107,2594.2486705090846,12608378.991745872,6706.5855329,2687.8896360500216
wn3_sce_radius_m0p01_r50_e1_ni050,"WN3 + 0.01 Msol to 50 Rsun, 1 foe",radius_m0p01_r50,avishai_wn3_ext_m0p01_r50,1.0,0.05,48.0,0.5500515115833333,118546535815.40771,0.6864963929640535,752.1748955755521,49.860790961237925,2.6896291664107483,1058.2521208526616,49.86006890582704,2646992403.7904506,117408.34455516309,127.07706442622386,1831646263.4821475,54757.11218100334,485.99011199181655,1596885409.2099998,37356.98065927182,974.9469249114112,949549669.0886084,24466.014742867916,1752.7500733721272,309351425.36638707,14269.808760347552,2940.880376551008,14748496.627313655,6445.1769541,3147.6580700014374
wn3_sce_radius_m0p01_r50_e2_ni050,"WN3 + 0.01 Msol to 50 Rsun, 2 foe",radius_m0p01_r50,avishai_wn3_ext_m0p01_r50,2.0,0.05,48.0,0.43339290536111114,154873877591.29565,0.686497884493946,752.1746688981779,49.86079096106646,11690515366.82706,241774.2999452983,62.97633904639546,3261595823.505146,105524.17494657484,174.62256168226114,2956870163.7894306,54520.63646558548,622.8483633298783,2301704200.697722,36764.28247707306,1208.5384473696477,1332827495.1732013,24132.99901195177,2134.283112258849,288741522.1349849,13275.380023773709,3282.8277945630934,16049809.16208104,5968.7159478,3828.718119591778
